NOME,categoria,codigo_fabricante,descricao,valor
HiPurA® DNA/ RNA Purification Kit,HiMedia,MB583-20PR ,HIPURA DNA/RNA PURIFICATION KIT. PURIFICACAO DE DNA/RNA TOTAL A PARTIR DE UMA AMPLA VARIEDADE DE AMOSTRAS. PURIFICACAO POR MEMBRANA DE SILICA. 20 PREPARACOES.,220
HiPurA® Viral DNA/ RNA Purification Kit,HiMedia,MB582-20PR,HIPURA VIRAL DNA/RNA PURIFICATION KIT 20 PREPARACOES. PURIFICACAO DE DNA/RNA TOTAL A PARTIR DE UMA GRANDE VARIEDADE DE VIRUS DE DNA E RNA. PURIFICACAO POR MEMBRANA DE SILICA. 20 PREPARACOES.,194.8
HiPurA® Multi-Sample DNA Purification Kit,HiMedia,MB554-20PR ,"HIPURA MULTI-SAMPLE DNA PURIFICATION KIT 20. PURIFICACAO DE DNA A PARTIR DE SANGUE FRESCO E CONGELADO, BACTERIAS GRAM-POSITIVAS E GRAM-NEGATIVAS, TECIDOS E CELULAS. PERMITE O PROCESSAMENTO DE MULTIPLAS AMOSTRAS SIMULTANEAMENTE. PURIFICACAO POR MEMBRANA DE SILICA. 20 PREPARACOES",209
HiPurA® Forensic Multi Sample DNA Purification Kit,HiMedia,MB580-20PR ,"KIT HIPURA PURIFICACAO DE DNA FORENSE, 20 PREPARACOES. KIT PARA PURIFICACAO DE DNA DE AMOSTRAS FORENSES. COMO MANCHAS DE SANGUE SECAS, COAGULOS, FLUIDOS CORPORAIS, COTONETES, TECIDOS, FOLICULOS CAPILARES E AMOSTRAS DE SALIVA. PURIFICACAO POR MEMBRANA DE SILICA. 20 PREPARACOES.",302.2
HiPurA® Stool DNA Purification Kit,HiMedia,MB544-20PR,HIPURA STOOL DNA PURIFICATION KIT. PURIFICACAO DE DNA A PARTIR DE AMOSTRAS FECAIS. INCLUI SOLUCAO QUE ELIMINA COMPOSTOS INIBITORIOS PRESENTES NAS AMOSTRAS FECAIS DURANTE O PROCESSO DE EXTRACAO. PURIFICACAO POR MEMBRANA DE SILICA. 20 PREPARACOES.,214.4
HiPurA® Soil DNA Purification Kit ,HiMedia,MB542-20PR,"KIT HIPURA DE PURIFICACAO DE DNA DE SOLO, 20 PREPARACOES. PURIFICACAO DE DNA TOTAL DE AMOSTRAS AMBIENTAIS CONTENDO UM ALTO TEOR DE ACIDO HUMICO, INCLUINDO TIPOS DE SOLO DIFICEIS, COMO COMPOSTO, SEDIMENTOS, ESTERCO E OUTROS TIPOS DE SOLO COMUNS.PURIFICACAO POR COLUNA DE SILICA.  RENDIMENTO CERCA DE 20?G DE 250 - 500MG DE SOLO. 20 PREPARACOES.",219.8
HiPurA® SuperPlant DNA Purification Kit,HiMedia,MB571-20PR,HIPURA SUPERPLANT DNA PURIFICATION KIT. KIT DE PURIFICACAO DE DNA RECOMENDADO PARA A PURIFICACAO DE DNA DE PLANTAS RICAS EM POLIFENOIS. PURIFICACAO POR MEMBRANA DE SILICA. KIT PARA 20 PREPARACOES,204.4
HiPurA® Paraffin-Embedded Tissue DNA Purification Kit,HiMedia,MB530-20PR,HIPURA PARAFFIN-EMBEDDED TISSUE DNA PURIFICATION KIT 20. KIT PARA ISOLAMENTO DE DNA DE TECIDOS FIXADOS EM FORMALINA E EMBUTIDOS EM PARAFINA. PURIFICACAO POR MEMBRANA DE SILICA. KIT PARA 20 PREPARACOES,204.4
HiPurA® Multi-Sample RNA Purification Kit ,HiMedia,MB619-20PR ,"HIPURA MULTI-SAMPLE RNA PURIFICATION KIT. ISOLAMENTO DE RNA A PARTIR DE AMOSTRAS DE SANGUE HUMANO/ANIMAL, PLASMA, SORO, CULTURAS BACTERIANAS, CULTURAS DE LEVEDURAS, FUNGOS, PLANTAS, VIRUS E OUTRAS AMOSTRAS COMO CELULAS, TECIDOS, AMOSTRAS FECAIS E FLUIDOS CORPORAIS, ALEM DA PURIFICAÇÃO DE RNA A PARTIR DE REACOES ENZIMATICAS. PURIFICACAO POR MEMBRANA DE SILICA. KIT PARA 20 PREPARACOES.",262.6
HiPurA® Tissue RNA Purification Kit ,HiMedia,MB618-20PR,"KIT HIPURA PARA PURIFICACAO DE RNA DE TECIDO, 20 PREPARACOES.  PURIFICACAO POR COLUNA DE SILICA. ",211.4
